Year,RK,ID,NAME,TEAM,SALARY,POS,GMS,PASS_YDS,PASS_TD,PASS_INT,RUSH_YDS,RUSH_TD,RUSH_REC,REC_YDS,REC_TD,DEF_SCK,DEF_INT,DEF_FF,DEF_FR,FPTS_G,FPTS
2017,278,14645,Derrick Shelby,ATL,3000000.00,DE,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2
2015,252,16957,Derron Smith,CIN,553632.00,SS,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3
2021,590,3943,DeSean Jackson,LV,8675000.00,WR,16,0,0,0,4,0,20,454,2,0,0,0,0,3.5,55.8
2015,290,3943,DeSean Jackson,WAS,8005251.00,WR,1,0,0,0,0,0,2,17,0,0,0,0,0,1.7,1.7
2019,5,18857,Deshaun Watson,HOU,1724480.00,QB,2,635,3,0,92,2,0,0,0,0,0,0,0,31.3,62.6
2018,43,18857,Deshaun Watson,HOU,1094740.00,QB,1,235,1,1,76,0,0,0,0,0,0,0,0,19,19
2016,185,14793,DeShawn Shead,SEA,830685.00,CB,2,0,0,0,0,0,0,0,0,0,0,0,0,2.8,5.5
2015,132,14793,DeShawn Shead,SEA,870222.00,CB,2,0,0,0,17,0,0,0,0,0,0,0,0,4.6,9.2
2014,360,14793,DeShawn Shead,SEA,570000.00,CB,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,1333,17111,Deshazor Everett,WAS,1576755.00,FS,14,0,0,0,0,0,0,0,0,0,0,0,0,0.5,7.5
2015,356,17111,Deshazor Everett,WAS,427854.00,FS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,837,19960,DeShon Elliott,BAL,2183000.00,FS,6,0,0,0,0,0,0,0,0,1,1,0,0,5.8,34.6
2020,149,19960,DeShon Elliott,BAL,1307477.00,FS,2,0,0,0,0,0,0,0,0,0,0,0,0,4.5,9
2021,1019,15183,Desmond Trufant,LV,9698606.00,CB,10,0,0,0,0,0,0,0,0,0,0,0,0,2.2,21.5
2017,129,15183,Desmond Trufant,ATL,16526000.00,CB,2,0,0,0,0,0,0,0,0,0,0,0,0,5.2,10.5
2017,312,18597,Destiny Vaeao,PHI,540000.00,DE,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2018,366,20309,Detrez Newsome,LAC,310585.00,RB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,518,16775,DeVante Parker,MIA,9269110.00,WR,10,0,0,0,0,0,40,515,2,0,0,0,0,6.4,63.5
2016,185,16775,DeVante Parker,MIA,929389.00,WR,1,0,0,0,0,0,4,55,0,0,0,0,0,5.5,5.5
2021,411,21054,Devin Bush,PIT,2210615.00,ILB,14,0,0,0,0,0,0,0,0,2,0,1,1,5.5,77.3
2020,434,21721,Devin Duvernay,BAL,1708696.00,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,168,16802,Devin Funchess,CAR,936900.00,TE,1,0,0,0,0,0,4,79,0,0,0,0,0,7.9,7.9
2015,93,16802,Devin Funchess,CAR,2710190.00,TE,3,0,0,0,0,0,5,73,1,0,0,0,0,4.4,13.3
2021,460,10978,Devin McCourty,NE,8941176.00,SS,17,0,0,0,0,0,0,0,0,0,3,0,0,4.1,70
2019,194,10978,Devin McCourty,NE,9500000.00,SS,1,0,0,0,0,0,0,0,0,0,0,0,0,5.5,5.5
2018,87,10978,Devin McCourty,NE,8000000.00,SS,3,0,0,0,0,0,0,0,0,0,0,0,0,4.5,13.5
2017,53,10978,Devin McCourty,NE,7000000.00,SS,3,0,0,0,0,0,0,0,0,0,0,0,0,6,18
2016,67,10978,Devin McCourty,NE,10038662.00,SS,3,0,0,0,0,0,0,0,0,0,1,0,0,5.3,16
2015,155,10978,Devin McCourty,NE,12937500.00,SS,2,0,0,0,0,0,0,0,0,0,0,0,0,4,8
2014,79,10978,Devin McCourty,NE,3970000.00,SS,3,0,0,0,0,0,0,0,0,0,1,0,0,4.7,14
2020,130,20941,Devin Singletary,BUF,1012382.00,RB,3,0,0,0,63,0,8,44,0,0,0,0,0,3.6,10.7
2019,81,20941,Devin Singletary,BUF,1708707.00,RB,1,0,0,0,58,0,6,76,0,0,0,0,0,13.4,13.4
2014,360,16381,Devin Street,DAL,621972.00,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,185,15377,Devin Taylor,DET,675000.00,DE,1,0,0,0,0,0,0,0,0,0,0,0,0,5.5,5.5
2014,319,15377,Devin Taylor,DET,559061.00,DE,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2021,93,20981,Devin White,TB,3335074.00,ILB,17,0,0,0,0,0,0,0,0,3.5,0,0,1,8.8,148.75
2020,6,20981,Devin White,TB,1917537.00,ILB,3,0,0,0,0,0,0,0,0,0,2,0,2,16.5,49.5
2021,1695,20904,Devine Ozigbo,NE,######,RB,3,0,0,0,-3,0,1,7,0,0,0,0,0,0.1,0.4
2021,853,16397,Devon Kennard,ARI,6678665.00,OLB,15,0,0,0,0,0,0,0,0,0,0,0,1,2.2,33.5
2016,327,16397,Devon Kennard,NYG,600000.00,OLB,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5
2021,67,18037,De'Vondre Campbell,GB,2000000.00,OLB,16,0,0,0,0,0,0,0,0,2,2,2,1,10,160.8
2017,95,18037,De'Vondre Campbell,ATL,885298.00,OLB,2,0,0,0,0,0,0,0,0,1,0,0,0,6.8,13.7
2016,112,18037,De'Vondre Campbell,ATL,1015528.00,OLB,3,0,0,0,0,0,0,0,0,0,0,0,0,3.7,11
2017,39,16524,Devonta Freeman,ATL,16297000.00,RB,2,0,0,0,73,1,6,29,1,0,0,0,0,11.1,22.2
2016,5,16524,Devonta Freeman,ATL,600000.00,RB,3,0,0,0,162,2,10,168,1,0,0,0,0,17,51
2021,159,21687,DeVonta Smith,PHI,12668284.00,WR,17,0,0,0,0,0,64,916,5,0,0,1,0,7.2,121.6
2021,251,17970,Devontae Booker,NYG,3500000.00,RB,16,0,0,0,593,2,40,268,1,0,0,0,0,6.5,104.1
2016,342,16230,Dewey McDonald,SEA,600000.00,FS,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,360,16230,Dewey McDonald,IND,321176.00,FS,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,484,20852,Dexter Lawrence,NYG,1699368.00,DE,16,0,0,0,0,0,0,0,0,2.5,0,1,0,4.2,67.9
